locus_tag,start,stop,strand,gene_name,old_locus_tag,gene_product,COG,uniprot
STM14_3355,2950805,2950957,-,STM14_3355,,hypothetical protein,No COG annotation,A0A0F6B5I0
STM14_3356,2951059,2951226,+,STM14_3356,,hypothetical protein,No COG annotation,A0A0F6B5I1
STM14_3357,2951242,2951355,+,STM14_3357,,hypothetical protein,No COG annotation,A0A0F6B5I2
STM14_3358,2951448,2952461,-,nixA,,putative nickel transporter,Inorganic ion transport and metabolism,A0A0F6B5I3
STM14_3359,2952594,2954009,-,tctE,,regulatory protein,Signal transduction mechanisms,A0A0F6B5I4
STM14_3360,2953996,2954670,-,tctD,,regulatory protein,Transcription,A0A0F6B5I5
STM14_3361,2954825,2955802,+,STM14_3361,,tricarboxylic transport,Function unknown,A0A0F6B5I6
STM14_3362,2955814,2956248,+,STM14_3362,,tricarboxylic transport,Function unknown,A0A0F6B5I7
STM14_3363,2956259,2957773,+,STM14_3363,,tricarboxylic transport,Function unknown,A0A0F6B5I8
STM14_3364,2957937,2958050,+,STM14_3364,,hypothetical protein,No COG annotation,A0A0F6B5I9
STM14_3365,2958076,2959053,+,STM14_3365,,hypothetical protein,Energy production and conversion,A0A0F6B5J0
STM14_3366,2959079,2960347,+,ygaF,,hypothetical protein,Function unknown,A0A0F6B5J1
STM14_3367,2960369,2961817,+,gabD,,succinate-semialdehyde dehydrogenase I,Energy production and conversion,A0A0F6B5J2
STM14_3368,2961832,2963115,+,gabT,,4-aminobutyrate aminotransferase,Coenzyme transport and metabolism,A0A0F6B5J3
STM14_3369,2963245,2964645,+,gabP,,gamma-aminobutyrate transporter,Amino acid transport and metabolism,A0A0F6B5J4
STM14_3370,2964687,2965364,+,ygaE,,DNA-binding transcriptional regulator CsiR,Transcription,A0A0F6B5J5
STM14_3371,2965386,2965835,-,ygaU,,hypothetical protein,Function unknown,A0A0F6B5J6
STM14_3372,2965822,2965938,+,STM14_3372,,hypothetical protein,No COG annotation,A0A0F6B5J7
STM14_3373,2965935,2966093,-,yqaE,,putative transport protein,Function unknown,A0A0F6B5J8
STM14_3374,2966276,2966575,+,STM14_3374,,putative regulatory protein,Transcription,A0A0F6B5J9
STM14_3375,2966585,2967112,+,ygaP,,putative rhodanese-like sulfurtransferase,Inorganic ion transport and metabolism,A0A0F6B5K0
STM14_3376,2967191,2967370,+,STM14_3376,,conserved hypothetical protein,No COG annotation,A0A0F6B5K1
STM14_3377,2967460,2967861,-,stpA,,DNA binding protein%2C nucleoid-associated,Function unknown,A0A0F6B5K2
STM14_3378,2968220,2968345,+,STM14_3378,,hypothetical protein,No COG annotation,A0A0F6B5K3
STM14_3379,2968355,2968534,+,STM14_3379,,hypothetical protein,No COG annotation,A0A0F6B5K4
STM14_3380,2968560,2969009,+,STM14_3380,,putative inner membrane protein,"Intracellular trafficking, secretion, and vesicular transport",A0A0F6B5K5
STM14_3381,2969044,2969394,-,ygaC,,hypothetical protein,Function unknown,A0A0F6B5K6
STM14_3382,2969378,2969494,-,STM14_3382,,hypothetical protein,No COG annotation,A0A0F6B5K7
STM14_3383,2969544,2969882,+,ygaM,,hypothetical protein,Function unknown,A0A0F6B5K8
STM14_3384,2969966,2971300,-,STM14_3384,,putative regulatory protein,Transcription,A0A0F6B5K9
STM14_3385,2971389,2971820,+,STM14_3385,,putative cytoplasmic protein,Function unknown,A0A0F6B5L0
STM14_3386,2971817,2971993,+,STM14_3386,,hypothetical protein,No COG annotation,A0A0F6B5L1
STM14_3387,2972092,2972337,+,nrdH,,glutaredoxin-like protein,"Post-translational modification, protein turnover,and chaperones",A0A0F6B5L2
STM14_3388,2972334,2972744,+,nrdI,,ribonucleotide reductase stimulatory protein,Nucleotide transport and metabolism,A0A0F6B5L3
STM14_3389,2972717,2974861,+,nrdE,,ribonucleotide-diphosphate reductase subunit alpha,Nucleotide transport and metabolism,A0A0F6B5L4
STM14_3390,2974872,2975831,+,nrdF,,ribonucleotide-diphosphate reductase subunit beta,Nucleotide transport and metabolism,A0A0F6B5L5
STM14_3391,2976186,2977388,+,proV,,glycine betaine transporter ATP-binding subunit,Inorganic ion transport and metabolism,A0A0F6B5L6
STM14_3392,2977381,2978445,+,proW,,glycine betaine transporter membrane protein,Inorganic ion transport and metabolism,A0A0F6B5L7
STM14_3393,2978515,2979510,+,proX,,glycine betaine transporter periplasmic subunit,Amino acid transport and metabolism,A0A0F6B5L8
STM14_3394,2979522,2979632,+,STM14_3394,,hypothetical protein,No COG annotation,A0A0F6B5L9
STM14_3395,2979675,2980859,+,STM14_3395,,putative inner membrane protein,Amino acid transport and metabolism,A0A0F6B5M0
STM14_3396,2981060,2981167,-,STM14_3396,,hypothetical protein,No COG annotation,A0A0F6B5M1
STM14_3397,2981356,2981886,+,emrR,,transcriptional repressor MprA,Transcription,A0A0F6B5M2
STM14_3398,2981900,2982022,-,STM14_3398,,hypothetical protein,No COG annotation,A0A0F6B5M3
STM14_3399,2982013,2983185,+,emrA,,multidrug resistance secretion protein,Defense mechanisms,A0A0F6B5M4
STM14_3400,2983202,2984740,+,emrB,,putative multidrug transport protein,"Intracellular trafficking, secretion, and vesicular transport",A0A0F6B5M5
STM14_3401,2984789,2986159,-,STM14_3401,,putative glycoporin,Function unknown,A0A0F6B5M6
STM14_3402,2986505,2987020,-,luxS,,S-ribosylhomocysteinase,Coenzyme transport and metabolism,A0A0F6B5M7
STM14_3403,2987170,2988726,-,gshA,,glutamate--cysteine ligase,Nucleotide transport and metabolism,A0A0F6B5M8
STM14_3404,2988803,2989228,-,yqaA,,putative inner membrane protein,Function unknown,A0A0F6B5M9
STM14_3405,2989225,2989791,-,yqaB,,fructose-1-phosphatase,Function unknown,A0A0F6B5N0
STM14_3411,2991063,2991173,+,STM14_3411,,hypothetical protein,No COG annotation,A0A0F6B5N1
STM14_3412,2991186,2991371,-,csrA,,carbon storage regulator,"Translation, ribosomal structure and biogenesis",A0A0F6B5N2
STM14_3413,2991606,2994236,-,alaS,,alanyl-tRNA synthetase,"Translation, ribosomal structure and biogenesis",A0A0F6B5N3
STM14_3414,2994186,2994350,+,STM14_3414,,hypothetical protein,No COG annotation,A0A0F6B5N4
STM14_3415,2994269,2994475,-,STM14_3415,,hypothetical protein,No COG annotation,A0A0F6B5N5
STM14_3416,2994472,2994972,-,recX,,recombination regulator RecX,Function unknown,A0A0F6B5N6
STM14_3417,2995089,2996150,-,recA,,recombinase A,"Replication, recombination and repair",A0A0F6B5N7
STM14_3418,2996235,2996732,-,ygaD,,competence damage-inducible protein A,Function unknown,A0A0F6B5N8
STM14_3419,2996927,2997172,+,STM14_3419,,conserved hypothetical protein,No COG annotation,A0A0F6B5N9
STM14_3420,2997210,2998289,-,mltB,,murein hydrolase B,Cell wall/membrane/envelope biogenesis,A0A0F6B5P0
STM14_3421,2998326,2998466,+,STM14_3421,,hypothetical protein,No COG annotation,A0A0F6B5P1
STM14_3422,2998543,2999106,+,srlA,,glucitol/sorbitol-specific enzyme IIC component,Carbohydrate transport and metabolism,A0A0F6B5P2
STM14_3423,2999103,3000074,+,srlE,,glucitol/sorbitol-specific enzyme IIB component,Carbohydrate transport and metabolism,A0A0F6B5P3
STM14_3424,3000086,3000448,+,slrB,,glucitol/sorbitol-specific PTS system component IIA,Carbohydrate transport and metabolism,A0A0F6B5P4
STM14_3425,3000460,3001239,+,srlD,,sorbitol-6-phosphate dehydrogenase,Lipid transport and metabolism,A0A0F6B5P5
STM14_3426,3001315,3001674,+,gutM,,DNA-binding transcriptional activator GutM,Transcription,A0A0F6B5P6
STM14_3427,3001727,3001867,-,STM14_3427,,hypothetical protein,No COG annotation,A0A0F6B5P7
STM14_3428,3001872,3002645,+,srlR,,DNA-binding transcriptional repressor SrlR,Transcription,A0A0F6B5P8
STM14_3429,3002638,3003603,+,gutQ,,D-arabinose 5-phosphate isomerase,Nucleotide transport and metabolism,A0A0F6B5P9
STM14_3430,3003600,3005120,-,ygaA,,anaerobic nitric oxide reductase transcription regulator,Transcription,A0A0F6B5Q0
STM14_3431,3005306,3006745,+,STM14_3431,,anaerobic nitric oxide reductase flavorubredoxin,Energy production and conversion,A0A0F6B5Q1
STM14_3432,3006742,3007875,+,ygbD,,nitric oxide reductase,Energy production and conversion,A0A0F6B5Q2
STM14_3433,3007751,3007963,-,STM14_3433,,hydrogenase maturation protein,No COG annotation,A0A0F6B5Q3
STM14_3434,3007972,3010212,-,hypF,,hydrogenase maturation protein,"Post-translational modification, protein turnover,and chaperones",A0A0F6B5Q4
STM14_3435,3010214,3010348,-,STM14_3435,,hypothetical protein,No COG annotation,A0A0F6B5Q5
STM14_3436,3010358,3010903,-,hydN,,electron transport protein HydN,Energy production and conversion,A0A0F6B5Q6
STM14_3437,3010872,3011006,-,STM14_3437,,conserved hypothetical protein,No COG annotation,A0A0F6B5Q7
STM14_3438,3011104,3011913,-,STM14_3438,,hypothetical protein,No COG annotation,A0A0F6B5Q8
STM14_3439,3011940,3012410,-,hycI,,hydrogenase 3 maturation protease,Amino acid transport and metabolism,A0A0F6B5Q9
STM14_3440,3012403,3012813,-,hycH,,hydrogenase 3 large subunit processing protein,Amino acid transport and metabolism,A0A0F6B5R0
STM14_3441,3012810,3013577,-,hycG,,hydrogenase,Energy production and conversion,A0A0F6B5R1
STM14_3442,3013577,3014119,-,hycF,,formate hydrogenlyase complex iron-sulfur subunit,Energy production and conversion,A0A0F6B5R2
STM14_3443,3014129,3015838,-,hycE,,hydrogenase 3 large subunit,Energy production and conversion,A0A0F6B5R3
STM14_3444,3015856,3016779,-,hycD,,hydrogenase 3 membrane subunit,Energy production and conversion,A0A0F6B5R4
STM14_3445,3016782,3018608,-,hycC,,formate hydrogenlyase subunit 3,Energy production and conversion,A0A0F6B5R5
STM14_3446,3018608,3019216,-,hycB,,hydrogenase-3 iron-sulfur subunit,Energy production and conversion,A0A0F6B5R6
STM14_3447,3019238,3019342,-,STM14_3447,,hypothetical protein,No COG annotation,A0A0F6B5R7
STM14_3448,3019362,3019823,-,hycA,,formate hydrogenlyase regulatory protein HycA,Amino acid transport and metabolism,A0A0F6B5R8
STM14_3449,3019869,3020072,+,STM14_3449,,hypothetical protein,No COG annotation,A0A0F6B5R9
STM14_3450,3020033,3020389,+,hypA_1,,hydrogenase nickel incorporation protein,Function unknown,A0A0F6B5S0
STM14_3451,3020458,3021330,+,hypB,,hydrogenase nickel incorporation protein HypB,Transcription,A0A0F6B5S1
STM14_3452,3021321,3021593,+,hypC,,hydrogenase isoenzymes formation protein,"Post-translational modification, protein turnover,and chaperones",A0A0F6B5S2
STM14_3453,3021593,3022714,+,hypD,,putative hydrogenase formation protein,"Post-translational modification, protein turnover,and chaperones",A0A0F6B5S3
STM14_3454,3022711,3023721,+,hypE,,putative hydrogenase formation protein,"Post-translational modification, protein turnover,and chaperones",A0A0F6B5S4
STM14_3455,3023829,3026018,+,fhlA,,formate hydrogen-lyase transcriptional activator,Transcription,A0A0F6B5S5
STM14_3456,3026080,3026424,-,ygbA,,hypothetical protein,Function unknown,A0A0F6B5S6
STM14_3457,3026426,3026551,+,STM14_3457,,hypothetical protein,No COG annotation,A0A0F6B5S7
STM14_3458,3026606,3027523,+,sitA,,putative periplasmic binding protein,Inorganic ion transport and metabolism,A0A0F6B5S8
STM14_3459,3027520,3028341,+,sitB,,putative ATP-binding protein,Inorganic ion transport and metabolism,A0A0F6B5S9
STM14_3460,3028338,3029198,+,sitC,,putative permease,Inorganic ion transport and metabolism,A0A0F6B5T0
STM14_3461,3029189,3030037,+,sitD,,putative permease,Inorganic ion transport and metabolism,A0A0F6B5T1
STM14_3462,3030207,3031043,-,avrA,,secreted effector protein,Function unknown,A0A0F6B5T2
STM14_3463,3031204,3031959,-,sprB,,transcriptional regulator,Transcription,A0A0F6B5T3
STM14_3464,3032212,3032319,+,STM14_3464,,hypothetical protein,No COG annotation,A0A0F6B5T4
STM14_3465,3032344,3033231,-,hilC,,invasion regulatory protein,Transcription,A0A0F6B5T5
STM14_3466,3033296,3033403,-,STM14_3466,,hypothetical protein,No COG annotation,A0A0F6B5T6
STM14_3467,3033576,3034028,-,orgC,,putative cytoplasmic protein,No COG annotation,A0A0F6B5T7
STM14_3468,3034025,3034705,-,orgB,,needle complex export protein,Function unknown,A0A0F6B5T8
STM14_3469,3034662,3035261,-,orgA,,needle complex assembly protein,Function unknown,D0ZV07
STM14_3470,3035233,3035991,-,prgK,,needle complex inner membrane lipoprotein,"Intracellular trafficking, secretion, and vesicular transport",A0A0F6B5T9
STM14_3471,3035988,3036293,-,prgJ,,needle complex minor subunit,No COG annotation,A0A0F6B5U0
STM14_3472,3036312,3036554,-,prgI,,needle complex major subunit,Function unknown,A0A0F6B5U1
STM14_3473,3036579,3037757,-,prgH,,needle complex inner membrane protein,Function unknown,A0A0F6B5U2
STM14_3474,3038073,3039002,+,hilD,,invasion protein regulatory protein,Transcription,A0A0F6B5U3
STM14_3475,3040093,3041754,+,hilA,,invasion protein regulator,Transcription,A0A0F6B5U4
STM14_3476,3041772,3042254,+,iagB,,invasion protein precursor,Cell wall/membrane/envelope biogenesis,A0A0F6B5U5
STM14_3477,3042308,3043939,-,sptP,,protein tyrosine phosphatase/GTPase activating protein,Signal transduction mechanisms,A0A0F6B5U6
STM14_3478,3043926,3044318,-,sicP,,secretion chaparone,Function unknown,A0A0F6B5U7
STM14_3479,3044345,3044605,-,STM14_3479,,putative cytoplasmic protein,No COG annotation,A0A0F6B5U8
STM14_3480,3044649,3044897,-,iacP,,acyl carrier protein,Lipid transport and metabolism,A0A0F6B5U9
STM14_3481,3044916,3046973,-,sipA,,secreted effector protein,Function unknown,A0A0F6B5V0
STM14_3482,3046992,3048023,-,sipD,,translocation machinery component,Function unknown,A0A0F6B5V1
STM14_3483,3048094,3049323,-,sipC,,translocation machinery component,Function unknown,D0ZV21
STM14_3484,3049351,3051132,-,sipB,,translocation machinery component,Function unknown,A0A0F6B5V2
STM14_3485,3051135,3051632,-,sicA,,secretion chaperone,Transcription,A0A0F6B5V3
STM14_3486,3051770,3052840,-,spaS,,surface presentation of antigens protein SpaS,Cell motility,A0A0F6B5V4
STM14_3487,3052827,3053618,-,spaR,,needle complex export protein,"Intracellular trafficking, secretion, and vesicular transport",A0A0F6B5V5
STM14_3488,3053622,3053882,-,spaQ,,needle complex export protein,"Intracellular trafficking, secretion, and vesicular transport",A0A0F6B5V6
STM14_3489,3053908,3054582,-,spaP,,surface presentation of antigens protein SpaP,"Intracellular trafficking, secretion, and vesicular transport",A0A0F6B5V7
STM14_3490,3054572,3055483,-,spaO,,surface presentation of antigens protein SpaO,Cell motility,A0A0F6B5V8
STM14_3491,3055483,3056493,-,invJ,,needle length control protein,Function unknown,A0A0F6B5V9
STM14_3492,3056493,3056936,-,invI,,needle complex assembly protein,Function unknown,A0A0F6B5W0
STM14_3493,3056914,3058209,-,invC,,ATP synthase SpaL,Nucleotide transport and metabolism,A0A0F6B5W1
STM14_3494,3058206,3058613,-,invB,,secretion chaperone,Function unknown,A0A0F6B5W2
STM14_3495,3058637,3060694,-,invA,,needle complex export protein,"Intracellular trafficking, secretion, and vesicular transport",A0A0F6B5W3
STM14_3496,3060719,3061837,-,invE,,invasion protein,Function unknown,A0A0F6B5W4
STM14_3497,3061834,3063522,-,invG,,outer membrane secretin precursor,Cell motility,A0A0F6B5W5
STM14_3498,3063519,3064268,-,invF,,invasion regulatory protein,Transcription,A0A0F6B5W6
STM14_3499,3064626,3065069,+,invH,,needle complex outer membrane lipoprotein precursor,Function unknown,A0A0F6B5W7
STM14_3500,3065500,3065949,+,STM14_3500,,putative cytoplasmic protein,No COG annotation,A0A0F6B5W8
STM14_3501,3065934,3066281,+,STM14_3501,,putative cytoplasmic protein,Function unknown,A0A0F6B5W9
STM14_3502,3066393,3066497,-,STM14_3502,,hypothetical protein,No COG annotation,A0A0F6B5X0
STM14_3503,3066554,3066880,-,STM14_3503,,putative cytoplasmic protein,No COG annotation,A0A0F6B5X1
STM14_3504,3067340,3067483,-,STM14_3504,,hypothetical protein,No COG annotation,A0A0F6B5X2
STM14_3505,3067569,3067859,+,STM14_3505,,putative ABC-type transporter,Function unknown,A0A0F6B5X3
STM14_3506,3067856,3068383,+,STM14_3506,,putative acetyltransferase,Transcription,A0A0F6B5X4
STM14_3508,3068687,3068806,+,STM14_3508,,hypothetical protein,No COG annotation,A0A0F6B5X5
STM14_3509,3069008,3069664,+,pphB,,serine/threonine-specific protein phosphatase 2,Signal transduction mechanisms,A0A0F6B5X6
STM14_3510,3069836,3070357,-,STM14_3510,,putative cytoplasmic protein,No COG annotation,A0A0F6B5X7
STM14_3511,3070516,3073083,+,mutS,,DNA mismatch repair protein,Nucleotide transport and metabolism,A0A0F6B5X8
STM14_3512,3073139,3073519,-,STM14_3512,,putative cytoplasmic protein,Function unknown,A0A0F6B5X9
STM14_3513,3073516,3074724,-,STM14_3513,,putative permease,Amino acid transport and metabolism,A0A0F6B5Y0
STM14_3514,3074812,3075744,+,STM14_3514,,putative transcriptional regulator,Transcription,A0A0F6B5Y1
STM14_3515,3075786,3077282,-,STM14_3515,,putative permease,Amino acid transport and metabolism,A0A0F6B5Y2
STM14_3516,3077279,3078229,-,STM14_3516,,putative nucleoside-diphosphate-sugar epimerase,Cell wall/membrane/envelope biogenesis,A0A0F6B5Y3
STM14_3517,3078269,3079045,-,ygbM,,hypothetical protein,Carbohydrate transport and metabolism,A0A0F6B5Y4
STM14_3518,3079050,3079688,-,ygbL,,putative aldolase,Carbohydrate transport and metabolism,A0A0F6B5Y5
STM14_3519,3079685,3080947,-,ygbK,,putative tRNA synthase,Function unknown,A0A0F6B5Y6
STM14_3520,3080941,3081864,-,ygbJ,,3-hydroxyisobutyrate dehydrogenase,Lipid transport and metabolism,A0A0F6B5Y7
STM14_3521,3082061,3082825,+,ygbI,,putative regulatory protein,Transcription,A0A0F6B5Y8
STM14_3522,3082844,3083248,-,STM14_3522,,putative transcriptional regulator,Transcription,A0A0F6B5Y9
STM14_3523,3083419,3084012,+,STM14_3523,,putative flavoprotein,Coenzyme transport and metabolism,A0A0F6B5Z0
STM14_3524,3084012,3085439,+,STM14_3524,,putative 3-polyprenyl-4-hydroxybenzoate decarboxylase,Coenzyme transport and metabolism,A0A0F6B5Z1
STM14_3525,3085450,3085686,+,STM14_3525,,putative cytoplasmic protein,Function unknown,A0A0F6B5Z2
STM14_3526,3085731,3086723,-,rpoS,,RNA polymerase sigma factor RpoS,Transcription,D0ZVL4
STM14_3527,3086786,3087919,-,nlpD,,lipoprotein NlpD,Cell wall/membrane/envelope biogenesis,A0A0F6B5Z3
STM14_3528,3087981,3088118,+,STM14_3528,,hypothetical protein,No COG annotation,A0A0F6B5Z4
STM14_3529,3088095,3088721,-,pcm,,protein-L-isoaspartate O-methyltransferase,"Translation, ribosomal structure and biogenesis",A0A0F6B5Z5
STM14_3530,3088715,3089476,-,surE,,stationary phase survival protein SurE,Nucleotide transport and metabolism,A0A0F6B5Z6
STM14_3531,3089457,3090506,-,truD,,tRNA pseudouridine synthase D,"Translation, ribosomal structure and biogenesis",A0A0F6B5Z7
STM14_3532,3090503,3090982,-,ispF,,2-C-methyl-D-erythritol 2%2C4-cyclodiphosphate synthase,Nucleotide transport and metabolism,A0A0F6B5Z8
STM14_3533,3090982,3091692,-,ispD,,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Lipid transport and metabolism,A0A0F6B5Z9
STM14_3534,3091711,3092022,-,ftsB,,cell division protein FtsB,"Cell cycle control, cell division, chromosome partitioning",A0A0F6B600
STM14_3535,3092010,3092120,-,STM14_3535,,hypothetical protein,No COG annotation,A0A0F6B601
STM14_3536,3092213,3092569,-,ygbE,,hypothetical protein,Function unknown,A0A0F6B602
STM14_3537,3092587,3093192,-,cysC,,adenylylsulfate kinase,Nucleotide transport and metabolism,A0A0F6B603
STM14_3538,3093179,3094618,-,cysN,,sulfate adenylyltransferase subunit 1,Coenzyme transport and metabolism,A0A0F6B604
STM14_3539,3094628,3095536,-,cysD,,sulfate adenylyltransferase subunit 2,Coenzyme transport and metabolism,A0A0F6B605
STM14_3540,3095787,3096833,+,iap,,alkaline phosphatase isozyme conversion aminopeptidase,Function unknown,A0A0F6B606
STM14_3541,3098420,3098716,-,ygbF,,hypothetical protein,"Replication, recombination and repair",A0A0F6B607
STM14_3542,3098713,3099633,-,STM14_3542,,putative cytoplasmic protein,"Replication, recombination and repair",A0A0F6B608
STM14_3543,3099630,3100280,-,ygcH,,putative cytoplasmic protein,Function unknown,A0A0F6B609
STM14_3544,3100262,3101008,-,STM14_3544,,putative cytoplasmic protein,Function unknown,A0A0F6B610
STM14_3545,3101019,3102077,-,yghJ,,putative cytoplasmic protein,"Replication, recombination and repair",A0A0F6B611
STM14_3546,3102091,3102651,-,STM14_3546,,putative transposase,Function unknown,A0A0F6B612
STM14_3547,3102648,3104204,-,STM14_3547,,putative cytoplasmic protein,Function unknown,A0A0F6B613
STM14_3548,3104216,3106879,-,ygcB,,putative helicase,"Replication, recombination and repair",A0A0F6B614
STM14_3549,3106978,3107112,-,STM14_3549,,hypothetical protein,No COG annotation,A0A0F6B615
STM14_3550,3107324,3108277,+,sopD,,secreted effector protein,Transcription,A0A0F6B616
STM14_3551,3108365,3109099,-,cysH,,phosphoadenosine phosphosulfate reductase,Amino acid transport and metabolism,A0A0F6B617
STM14_3552,3109175,3110887,-,cysI,,sulfite reductase subunit beta,Coenzyme transport and metabolism,A0A0F6B618
STM14_3553,3110887,3112686,-,cysJ,,sulfite reductase subunit alpha,Amino acid transport and metabolism,A0A0F6B619
STM14_3554,3113110,3113472,+,ptpS,,putative 6-pyruvoyl tetrahydrobiopterin synthase,Coenzyme transport and metabolism,A0A0F6B620
STM14_3555,3113560,3114357,-,STM14_3555,,putative metal-dependent hydrolase,Function unknown,A0A0F6B621
STM14_3556,3116367,3117038,-,ygcF,,hypothetical protein,Coenzyme transport and metabolism,A0A0F6B622
STM14_3557,3117174,3118472,-,eno,,phosphopyruvate hydratase,Nucleotide transport and metabolism,A0A0F6B623
STM14_3558,3118555,3120192,-,pyrG,,CTP synthetase,Nucleotide transport and metabolism,A0A0F6B624
STM14_3559,3120420,3121220,-,mazG,,nucleoside triphosphate pyrophosphohydrolase,Function unknown,A0A0F6B625
STM14_3560,3121321,3121458,+,STM14_3560,,hypothetical protein,No COG annotation,A0A0F6B626
STM14_3561,3121826,3121978,+,STM14_3561,,putative fimbrial subunit,No COG annotation,A0A0F6B627
STM14_3562,3121988,3122278,-,STM14_3562,,hypothetical protein,Function unknown,A0A0F6B628
STM14_3563,3122250,3122525,-,STM14_3563,,putative transcriptional regulator,Transcription,A0A0F6B629
STM14_3564,3122690,3124924,-,relA,,GDP/GTP pyrophosphokinase,Transcription,A0A0F6B630
STM14_3565,3124976,3126271,-,rumA,,23S rRNA 5-methyluridine methyltransferase,"Translation, ribosomal structure and biogenesis",A0A0F6B631
STM14_3566,3126329,3129085,+,barA,,hybrid sensory histidine kinase BarA,Signal transduction mechanisms,A0A0F6B632
STM14_3567,3129129,3130271,-,STM14_3567,,putative glycerate kinase 2,Carbohydrate transport and metabolism,A0A0F6B633
STM14_3568,3130349,3131689,-,gudD,,d-glucarate dehydratase,Cell wall/membrane/envelope biogenesis,A0A0F6B634
STM14_3569,3131710,3133050,-,ygcY,,putative D-glucarate dehydratase,Cell wall/membrane/envelope biogenesis,A0A0F6B635
STM14_3570,3133047,3134405,-,gudT,,putative D-glucarate permease,Carbohydrate transport and metabolism,A0A0F6B636
STM14_3571,3134509,3134736,+,STM14_3571,,hypothetical protein,No COG annotation,A0A0F6B637
STM14_3572,3134886,3135335,-,STM14_3572,,flavodoxin,Energy production and conversion,A0A0F6B638
STM14_3573,3135354,3136136,-,yqcB,,tRNA pseudouridine synthase C,"Translation, ribosomal structure and biogenesis",A0A0F6B639
STM14_3574,3136136,3136465,-,yqcC,,putative cytoplasmic protein,Function unknown,A0A0F6B640
STM14_3576,3137077,3137622,-,syd,,SecY interacting protein Syd,Function unknown,A0A0F6B641
STM14_3577,3137691,3138539,+,queF,,7-cyano-7-deazaguanine reductase,Nucleotide transport and metabolism,A0A0F6B642
STM14_3578,3138652,3140016,+,ygdH,,putative nucleotide binding protein,Function unknown,A0A0F6B643
STM14_3579,3140022,3140165,+,STM14_3579,,hypothetical protein,No COG annotation,A0A0F6B644
STM14_3580,3140255,3140359,+,STM14_3580,,hypothetical protein,No COG annotation,A0A0F6B645
STM14_3581,3140581,3141870,+,sdaC,,putative serine transport protein,Amino acid transport and metabolism,A0A0F6B646
STM14_3582,3141929,3143296,+,sdaB,,L-serine dehydratase/L-threonine deaminase 2,Amino acid transport and metabolism,A0A0F6B647
STM14_3583,3143293,3143478,-,STM14_3583,,hypothetical protein,No COG annotation,A0A0F6B648
STM14_3584,3143407,3144222,+,xni,,exonuclease IX,"Replication, recombination and repair",A0A0F6B649
STM14_3585,3144205,3144342,-,STM14_3585,,L-1%2C2-propanediol oxidoreductase,No COG annotation,A0A0F6B650
STM14_3586,3144314,3145462,-,fucO,,L-1%2C2-propanediol oxidoreductase,Energy production and conversion,A0A0F6B651
STM14_3587,3145479,3146126,-,fucA,,L-fuculose phosphate aldolase,Carbohydrate transport and metabolism,A0A0F6B652
STM14_3588,3146280,3146447,-,STM14_3588,,conserved hypothetical protein,No COG annotation,A0A0F6B653
STM14_3589,3146681,3147997,+,fucP,,,Carbohydrate transport and metabolism,
STM14_3590,3148029,3149804,+,fucI,,L-fucose isomerase,Carbohydrate transport and metabolism,A0A0F6B654
STM14_3591,3149905,3151323,+,fucK,,L-fuculokinase,Nucleotide transport and metabolism,A0A0F6B655
STM14_3592,3151325,3151747,+,fucU,,putative L-fucose-binding protein,Carbohydrate transport and metabolism,A0A0F6B656
STM14_3593,3151805,3152515,+,fucR,,DNA-binding transcriptional activator FucR,Transcription,A0A0F6B657
STM14_3594,3152574,3153674,-,ygdE,,putative RNA 2'-O-ribose methyltransferase,"Translation, ribosomal structure and biogenesis",A0A0F6B658
STM14_3595,3153667,3154062,-,ygdD,,hypothetical protein,Function unknown,A0A0F6B659
STM14_3596,3154081,3154998,-,gcvA,,DNA-binding transcriptional activator GcvA,Transcription,A0A0F6B660
STM14_3597,3155345,3155572,-,ygdI,,putative lipoprotein,Cell wall/membrane/envelope biogenesis,A0A0F6B661
STM14_3598,3155765,3156970,+,csdA,,cysteine sulfinate desulfinase,Amino acid transport and metabolism,A0A0F6B662
STM14_3599,3156970,3157413,+,ygdK,,putative FeS center assembly protein,Function unknown,A0A0F6B663
STM14_3600,3157563,3157685,+,STM14_3600,,hypothetical protein,No COG annotation,A0A0F6B664
STM14_3601,3157686,3158600,+,STM14_3601,,putative integral membrane protein,Function unknown,A0A0F6B665
STM14_3602,3158652,3159458,-,ygdL,,putative enzyme,Coenzyme transport and metabolism,A0A0F6B666
STM14_3603,3159568,3160665,-,mltA,,murein transglycosylase A,Cell wall/membrane/envelope biogenesis,A0A0F6B667
STM14_3606,3161165,3162418,-,amiC,,N-acetylmuramoyl-L-alanine amidase,Cell wall/membrane/envelope biogenesis,A0A0F6B668
STM14_3607,3162651,3163982,+,argA,,N-acetylglutamate synthase,Amino acid transport and metabolism,A0A0F6B669
STM14_3608,3164085,3165920,-,recD,,exonuclease V subunit alpha,"Replication, recombination and repair",A0A0F6B670
STM14_3609,3165917,3169462,-,recB,,exonuclease V subunit beta,"Replication, recombination and repair",A0A0F6B671
STM14_3610,3169455,3172343,-,ptr,,protease III,"Post-translational modification, protein turnover,and chaperones",A0A0F6B672
STM14_3611,3172521,3175892,-,recC,,exonuclease V subunit gamma,"Replication, recombination and repair",A0A0F6B673
STM14_3612,3175908,3176228,-,ppdC,,hypothetical protein,Cell motility,A0A0F6B674
